Cod,Region/Country/Area,Year,Series,Value,Footnotes
344,China- Hong Kong SAR,2018,Assault rate per 100K population,65.1,
344,China- Hong Kong SAR,2018,Kidnapping at the national level- rate per 100K,0,
344,China- Hong Kong SAR,2018,Theft at the national level- rate per 100K population,289.1,
446,China- Macao SAR,2005,Intentional homicide rates per 100K,0.8,
446,China- Macao SAR,2010,Intentional homicide rates per 100K,0.4,
446,China- Macao SAR,2010,Percentage of male and female intentional homicide victims- Male,0.8,
446,China- Macao SAR,2010,Percentage of male and female intentional homicide victims- Female,0,
446,China- Macao SAR,2010,Assault rate per 100K population,341.1,
446,China- Macao SAR,2010,Kidnapping at the national level- rate per 100K,0.4,
446,China- Macao SAR,2010,Theft at the national level- rate per 100K population,522.5,
446,China- Macao SAR,2010,Robbery at the national level- rate per 100K population,33.1,
446,China- Macao SAR,2010,Total Sexual Violence at the national level- rate per 100K,8.4,
446,China- Macao SAR,2017,Intentional homicide rates per 100K,0.3,
446,China- Macao SAR,2017,Percentage of male and female intentional homicide victims- Male,0,
446,China- Macao SAR,2017,Percentage of male and female intentional homicide victims- Female,0.6,
446,China- Macao SAR,2017,Assault rate per 100K population,1.1,
446,China- Macao SAR,2017,Kidnapping at the national level- rate per 100K,0,
446,China- Macao SAR,2017,Theft at the national level- rate per 100K population,434,
446,China- Macao SAR,2017,Robbery at the national level- rate per 100K population,17.3,
446,China- Macao SAR,2017,Total Sexual Violence at the national level- rate per 100K,17.3,
446,China- Macao SAR,2018,Intentional homicide rates per 100K,0.3,
446,China- Macao SAR,2018,Percentage of male and female intentional homicide victims- Male,0.3,
446,China- Macao SAR,2018,Percentage of male and female intentional homicide victims- Female,0.3,
446,China- Macao SAR,2018,Assault rate per 100K population,1.1,
446,China- Macao SAR,2018,Kidnapping at the national level- rate per 100K,0,
446,China- Macao SAR,2018,Theft at the national level- rate per 100K population,404.7,
170,Colombia,2005,Intentional homicide rates per 100K,42.5,
170,Colombia,2005,Percentage of male and female intentional homicide victims- Male,79.5,
170,Colombia,2005,Percentage of male and female intentional homicide victims- Female,6.9,
170,Colombia,2005,Assault rate per 100K population,71.3,
170,Colombia,2005,Kidnapping at the national level- rate per 100K,1.9,
170,Colombia,2005,Theft at the national level- rate per 100K population,161.2,
170,Colombia,2005,Total Sexual Violence at the national level- rate per 100K,10.8,
170,Colombia,2010,Intentional homicide rates per 100K,34.2,
170,Colombia,2010,Percentage of male and female intentional homicide victims- Male,64.2,
170,Colombia,2010,Percentage of male and female intentional homicide victims- Female,5.3,
170,Colombia,2010,Assault rate per 100K population,117.5,
170,Colombia,2010,Kidnapping at the national level- rate per 100K,0.6,
170,Colombia,2010,Theft at the national level- rate per 100K population,203,
170,Colombia,2010,Robbery at the national level- rate per 100K population,135.9,
170,Colombia,2010,Total Sexual Violence at the national level- rate per 100K,15.1,
170,Colombia,2017,Intentional homicide rates per 100K,25,
170,Colombia,2017,Percentage of male and female intentional homicide victims- Male,46.5,
170,Colombia,2017,Percentage of male and female intentional homicide victims- Female,4.3,
170,Colombia,2017,Assault rate per 100K population,350.5,
170,Colombia,2017,Kidnapping at the national level- rate per 100K,0.4,
170,Colombia,2017,Robbery at the national level- rate per 100K population,244.4,
170,Colombia,2017,Total Sexual Violence at the national level- rate per 100K,48.7,
170,Colombia,2018,Intentional homicide rates per 100K,25.3,
170,Colombia,2018,Percentage of male and female intentional homicide victims- Male,47.3,
170,Colombia,2018,Percentage of male and female intentional homicide victims- Female,4.2,
170,Colombia,2018,Assault rate per 100K population,346.1,
170,Colombia,2018,Kidnapping at the national level- rate per 100K,0.6,
170,Colombia,2018,Theft at the national level- rate per 100K population,180.5,
184,Cook Islands,2012,Intentional homicide rates per 100K,3.5,
188,Costa Rica,2005,Intentional homicide rates per 100K,7.8,
188,Costa Rica,2005,Percentage of male and female intentional homicide victims- Male,12.7,
188,Costa Rica,2005,Percentage of male and female intentional homicide victims- Female,2.9,
188,Costa Rica,2005,Kidnapping at the national level- rate per 100K,0.3,
188,Costa Rica,2005,Theft at the national level- rate per 100K population,195.1,
188,Costa Rica,2010,Intentional homicide rates per 100K,11.5,
188,Costa Rica,2010,Percentage of male and female intentional homicide victims- Male,20.3,
188,Costa Rica,2010,Percentage of male and female intentional homicide victims- Female,2.7,
188,Costa Rica,2010,Assault rate per 100K population,173.8,
188,Costa Rica,2010,Kidnapping at the national level- rate per 100K,0.2,
188,Costa Rica,2010,Theft at the national level- rate per 100K population,442.3,
188,Costa Rica,2010,Robbery at the national level- rate per 100K population,943.4,
188,Costa Rica,2010,Total Sexual Violence at the national level- rate per 100K,142.2,
188,Costa Rica,2013,Intentional homicide rates per 100K,8.7,
188,Costa Rica,2013,Percentage of male and female intentional homicide victims- Male,15.8,
188,Costa Rica,2013,Percentage of male and female intentional homicide victims- Female,1.5,
188,Costa Rica,2013,Assault rate per 100K population,173.4,
188,Costa Rica,2013,Kidnapping at the national level- rate per 100K,0.1,
188,Costa Rica,2013,Theft at the national level- rate per 100K population,691.4,
188,Costa Rica,2013,Robbery at the national level- rate per 100K population,"1,011.20",
188,Costa Rica,2013,Total Sexual Violence at the national level- rate per 100K,153.5,
188,Costa Rica,2017,Intentional homicide rates per 100K,12.2,
188,Costa Rica,2017,Percentage of male and female intentional homicide victims- Male,22,
188,Costa Rica,2017,Percentage of male and female intentional homicide victims- Female,2.3,
188,Costa Rica,2017,Assault rate per 100K population,155.5,
188,Costa Rica,2017,Kidnapping at the national level- rate per 100K,0.2,
188,Costa Rica,2017,Robbery at the national level- rate per 100K population,"1,587.50",
188,Costa Rica,2017,Total Sexual Violence at the national level- rate per 100K,191.2,
188,Costa Rica,2018,Intentional homicide rates per 100K,11.3,
384,Côte d’Ivoire,2008,Assault rate per 100K population,51.6,
384,Côte d’Ivoire,2008,Total Sexual Violence at the national level- rate per 100K,3.7,
191,Croatia,2005,Intentional homicide rates per 100K,1.6,
191,Croatia,2005,Percentage of male and female intentional homicide victims- Male,1.9,
191,Croatia,2005,Percentage of male and female intentional homicide victims- Female,1.2,
191,Croatia,2005,Assault rate per 100K population,26.3,
191,Croatia,2005,Kidnapping at the national level- rate per 100K,0.5,
191,Croatia,2005,Theft at the national level- rate per 100K population,694.3,
191,Croatia,2005,Total Sexual Violence at the national level- rate per 100K,14.2,
191,Croatia,2010,Intentional homicide rates per 100K,1.4,
191,Croatia,2010,Percentage of male and female intentional homicide victims- Male,1.4,
191,Croatia,2010,Percentage of male and female intentional homicide victims- Female,1.4,
191,Croatia,2010,Assault rate per 100K population,22.8,
191,Croatia,2010,Kidnapping at the national level- rate per 100K,0.3,
191,Croatia,2010,Theft at the national level- rate per 100K population,313.6,
191,Croatia,2010,Robbery at the national level- rate per 100K population,28.8,
191,Croatia,2010,Total Sexual Violence at the national level- rate per 100K,9.2,
191,Croatia,2017,Intentional homicide rates per 100K,1.1,
191,Croatia,2017,Percentage of male and female intentional homicide victims- Male,1.4,
191,Croatia,2017,Percentage of male and female intentional homicide victims- Female,0.8,
191,Croatia,2017,Assault rate per 100K population,19.1,
191,Croatia,2017,Kidnapping at the national level- rate per 100K,0,
191,Croatia,2017,Theft at the national level- rate per 100K population,296.8,
191,Croatia,2017,Robbery at the national level- rate per 100K population,20.7,
191,Croatia,2017,Total Sexual Violence at the national level- rate per 100K,11.4,
191,Croatia,2018,Intentional homicide rates per 100K,0.6,
191,Croatia,2018,Percentage of male and female intentional homicide victims- Male,0.8,
191,Croatia,2018,Percentage of male and female intentional homicide victims- Female,0.4,
191,Croatia,2018,Assault rate per 100K population,17.6,
191,Croatia,2018,Kidnapping at the national level- rate per 100K,0,
191,Croatia,2018,Theft at the national level- rate per 100K population,276.2,
192,Cuba,2005,Intentional homicide rates per 100K,6.1,
192,Cuba,2005,Percentage of male and female intentional homicide victims- Male,9.2,
192,Cuba,2005,Percentage of male and female intentional homicide victims- Female,3,
192,Cuba,2010,Intentional homicide rates per 100K,4.5,
192,Cuba,2010,Percentage of male and female intentional homicide victims- Male,6.8,
192,Cuba,2010,Percentage of male and female intentional homicide victims- Female,2.2,
192,Cuba,2016,Intentional homicide rates per 100K,5,
192,Cuba,2016,Percentage of male and female intentional homicide victims- Male,8,
192,Cuba,2016,Percentage of male and female intentional homicide victims- Female,2.1,
531,Curaçao,2005,Intentional homicide rates per 100K,20,
531,Curaçao,2005,Percentage of male and female intentional homicide victims- Male,32.8,
531,Curaçao,2005,Percentage of male and female intentional homicide victims- Female,8.7,
531,Curaçao,2007,Intentional homicide rates per 100K,19,
531,Curaçao,2007,Percentage of male and female intentional homicide victims- Male,36.2,
531,Curaçao,2007,Percentage of male and female intentional homicide victims- Female,4.1,
196,Cyprus,2005,Intentional homicide rates per 100K,1.9,
196,Cyprus,2005,Percentage of male and female intentional homicide victims- Male,3.5,
196,Cyprus,2005,Percentage of male and female intentional homicide victims- Female,0.4,
196,Cyprus,2005,Assault rate per 100K population,12.8,
196,Cyprus,2005,Kidnapping at the national level- rate per 100K,1.6,
196,Cyprus,2005,Theft at the national level- rate per 100K population,116.9,
196,Cyprus,2005,Total Sexual Violence at the national level- rate per 100K,10.9,
196,Cyprus,2010,Intentional homicide rates per 100K,0.7,
196,Cyprus,2010,Percentage of male and female intentional homicide victims- Male,1.3,
196,Cyprus,2010,Percentage of male and female intentional homicide victims- Female,0.2,
196,Cyprus,2010,Assault rate per 100K population,15.6,
196,Cyprus,2010,Kidnapping at the national level- rate per 100K,2.4,
196,Cyprus,2010,Theft at the national level- rate per 100K population,150.1,
196,Cyprus,2010,Robbery at the national level- rate per 100K population,14,
196,Cyprus,2010,Total Sexual Violence at the national level- rate per 100K,7.1,
196,Cyprus,2017,Intentional homicide rates per 100K,0.6,
196,Cyprus,2017,Percentage of male and female intentional homicide victims- Male,1.2,
196,Cyprus,2017,Percentage of male and female intentional homicide victims- Female,0,
196,Cyprus,2017,Assault rate per 100K population,12.2,
196,Cyprus,2017,Kidnapping at the national level- rate per 100K,0.8,
196,Cyprus,2017,Theft at the national level- rate per 100K population,81.3,
196,Cyprus,2017,Robbery at the national level- rate per 100K population,8.7,
196,Cyprus,2017,Total Sexual Violence at the national level- rate per 100K,1.7,
196,Cyprus,2018,Intentional homicide rates per 100K,1.3,
196,Cyprus,2018,Percentage of male and female intentional homicide victims- Male,1.5,
196,Cyprus,2018,Percentage of male and female intentional homicide victims- Female,1,
196,Cyprus,2018,Assault rate per 100K population,11.1,
196,Cyprus,2018,Kidnapping at the national level- rate per 100K,0.3,
196,Cyprus,2018,Theft at the national level- rate per 100K population,60.2,
203,Czechia,2005,Intentional homicide rates per 100K,1.1,
203,Czechia,2005,Percentage of male and female intentional homicide victims- Male,1.3,
203,Czechia,2005,Percentage of male and female intentional homicide victims- Female,0.9,
203,Czechia,2005,Assault rate per 100K population,211.4,
203,Czechia,2005,Kidnapping at the national level- rate per 100K,0.1,
203,Czechia,2005,Theft at the national level- rate per 100K population,"1,502.50",
203,Czechia,2005,Total Sexual Violence at the national level- rate per 100K,18,
203,Czechia,2010,Intentional homicide rates per 100K,1,
203,Czechia,2010,Percentage of male and female intentional homicide victims- Male,1,
203,Czechia,2010,Percentage of male and female intentional homicide victims- Female,1,
203,Czechia,2010,Assault rate per 100K population,171.5,
203,Czechia,2010,Kidnapping at the national level- rate per 100K,0.1,
203,Czechia,2010,Theft at the national level- rate per 100K population,"1,198.80",
203,Czechia,2010,Robbery at the national level- rate per 100K population,38.1,
203,Czechia,2010,Total Sexual Violence at the national level- rate per 100K,12.7,
203,Czechia,2017,Intentional homicide rates per 100K,0.6,
203,Czechia,2017,Percentage of male and female intentional homicide victims- Male,0.7,
203,Czechia,2017,Percentage of male and female intentional homicide victims- Female,0.6,
203,Czechia,2017,Assault rate per 100K population,44.8,
203,Czechia,2017,Kidnapping at the national level- rate per 100K,0.2,
203,Czechia,2017,Theft at the national level- rate per 100K population,621.2,
203,Czechia,2017,Robbery at the national level- rate per 100K population,14.9,
203,Czechia,2017,Total Sexual Violence at the national level- rate per 100K,13.3,
203,Czechia,2018,Assault rate per 100K population,46.6,
203,Czechia,2018,Kidnapping at the national level- rate per 100K,0.1,
203,Czechia,2018,Theft at the national level- rate per 100K population,557.3,
208,Denmark,2005,Intentional homicide rates per 100K,1,
208,Denmark,2005,Percentage of male and female intentional homicide victims- Male,1.3,
208,Denmark,2005,Percentage of male and female intentional homicide victims- Female,0.7,
208,Denmark,2005,Assault rate per 100K population,205.1,
208,Denmark,2005,Theft at the national level- rate per 100K population,"3,100.90",
208,Denmark,2010,Intentional homicide rates per 100K,0.8,
208,Denmark,2010,Percentage of male and female intentional homicide victims- Male,0.7,
208,Denmark,2010,Percentage of male and female intentional homicide victims- Female,0.8,
208,Denmark,2010,Assault rate per 100K population,31.6,
208,Denmark,2010,Theft at the national level- rate per 100K population,"4,351.20",
208,Denmark,2010,Robbery at the national level- rate per 100K population,60.7,
208,Denmark,2010,Total Sexual Violence at the national level- rate per 100K,36.2,
208,Denmark,2017,Intentional homicide rates per 100K,1.2,
208,Denmark,2017,Percentage of male and female intentional homicide victims- Male,1.8,
208,Denmark,2017,Percentage of male and female intentional homicide victims- Female,0.7,
208,Denmark,2017,Assault rate per 100K population,33.2,
208,Denmark,2017,Theft at the national level- rate per 100K population,"3,731.90",
208,Denmark,2017,Robbery at the national level- rate per 100K population,35.6,
208,Denmark,2017,Total Sexual Violence at the national level- rate per 100K,83.6,
208,Denmark,2018,Intentional homicide rates per 100K,1,
208,Denmark,2018,Percentage of male and female intentional homicide victims- Male,1.3,
208,Denmark,2018,Percentage of male and female intentional homicide victims- Female,0.7,
208,Denmark,2018,Assault rate per 100K population,32.3,
208,Denmark,2018,Theft at the national level- rate per 100K population,"3,178.30",
212,Dominica,2001,Intentional homicide rates per 100K,1.4,
212,Dominica,2001,Percentage of male and female intentional homicide victims- Male,0,
212,Dominica,2002,Intentional homicide rates per 100K,12.9,
212,Dominica,2002,Percentage of male and female intentional homicide victims- Female,0,
212,Dominica,2005,Intentional homicide rates per 100K,11.3,
212,Dominica,2010,Intentional homicide rates per 100K,21.2,
212,Dominica,2011,Intentional homicide rates per 100K,8.5,
212,Dominica,2011,Percentage of male and female intentional homicide victims- Female,0,
212,Dominica,2017,Intentional homicide rates per 100K,26.6,
212,Dominica,2017,Assault rate per 100K population,88.2,
212,Dominica,2017,Kidnapping at the national level- rate per 100K,5.6,
212,Dominica,2017,Theft at the national level- rate per 100K population,33.6,
212,Dominica,2017,Robbery at the national level- rate per 100K population,100.8,
212,Dominica,2017,Total Sexual Violence at the national level- rate per 100K,135.7,
212,Dominica,2018,Assault rate per 100K population,103.3,
212,Dominica,2018,Kidnapping at the national level- rate per 100K,1.4,
212,Dominica,2018,Theft at the national level- rate per 100K population,29.3,
214,Dominican Republic,2005,Intentional homicide rates per 100K,26.3,
214,Dominican Republic,2005,Percentage of male and female intentional homicide victims- Male,47.6,
214,Dominican Republic,2005,Percentage of male and female intentional homicide victims- Female,4.7,
214,Dominican Republic,2005,Kidnapping at the national level- rate per 100K,0.2,
214,Dominican Republic,2006,Intentional homicide rates per 100K,23.3,
214,Dominican Republic,2006,Percentage of male and female intentional homicide victims- Male,42.4,
214,Dominican Republic,2006,Percentage of male and female intentional homicide victims- Female,3.9,
214,Dominican Republic,2006,Kidnapping at the national level- rate per 100K,0.2,
214,Dominican Republic,2010,Intentional homicide rates per 100K,25.5,
214,Dominican Republic,2010,Percentage of male and female intentional homicide victims- Male,46.5,
214,Dominican Republic,2010,Percentage of male and female intentional homicide victims- Female,4.4,
214,Dominican Republic,2016,Intentional homicide rates per 100K,15.5,
214,Dominican Republic,2016,Percentage of male and female intentional homicide victims- Male,27.8,
214,Dominican Republic,2016,Percentage of male and female intentional homicide victims- Female,3.3,
214,Dominican Republic,2016,Assault rate per 100K population,30.2,
214,Dominican Republic,2016,Kidnapping at the national level- rate per 100K,0.2,
214,Dominican Republic,2016,Theft at the national level- rate per 100K population,8.4,
214,Dominican Republic,2016,Robbery at the national level- rate per 100K population,67.2,
214,Dominican Republic,2016,Total Sexual Violence at the national level- rate per 100K,62.6,
214,Dominican Republic,2018,Intentional homicide rates per 100K,10,
214,Dominican Republic,2018,Percentage of male and female intentional homicide victims- Male,17.2,
214,Dominican Republic,2018,Percentage of male and female intentional homicide victims- Female,2.9,
218,Ecuador,2005,Intentional homicide rates per 100K,15.3,
218,Ecuador,2005,Percentage of male and female intentional homicide victims- Male,28.2,
218,Ecuador,2005,Percentage of male and female intentional homicide victims- Female,2.4,
218,Ecuador,2005,Assault rate per 100K population,56.1,
218,Ecuador,2005,Theft at the national level- rate per 100K population,43.1,
218,Ecuador,2010,Intentional homicide rates per 100K,17.5,
218,Ecuador,2010,Percentage of male and female intentional homicide victims- Male,31.7,
218,Ecuador,2010,Percentage of male and female intentional homicide victims- Female,3.2,
218,Ecuador,2010,Assault rate per 100K population,30,
218,Ecuador,2010,Theft at the national level- rate per 100K population,33.4,
218,Ecuador,2010,Robbery at the national level- rate per 100K population,360.4,
218,Ecuador,2010,Total Sexual Violence at the national level- rate per 100K,24.3,
218,Ecuador,2017,Intentional homicide rates per 100K,5.8,
218,Ecuador,2017,Percentage of male and female intentional homicide victims- Male,9.2,
218,Ecuador,2017,Percentage of male and female intentional homicide victims- Female,2.4,
218,Ecuador,2017,Assault rate per 100K population,38.9,
218,Ecuador,2017,Kidnapping at the national level- rate per 100K,4.7,
218,Ecuador,2017,Theft at the national level- rate per 100K population,183.7,
218,Ecuador,2017,Robbery at the national level- rate per 100K population,457.2,
218,Ecuador,2017,Total Sexual Violence at the national level- rate per 100K,80.5,
218,Ecuador,2018,Intentional homicide rates per 100K,5.8,
218,Ecuador,2018,Assault rate per 100K population,37.6,
218,Ecuador,2018,Kidnapping at the national level- rate per 100K,4.4,
218,Ecuador,2018,Theft at the national level- rate per 100K population,173.2,
818,Egypt,2005,Intentional homicide rates per 100K,0.7,
818,Egypt,2005,Percentage of male and female intentional homicide victims- Male,1.2,
818,Egypt,2005,Percentage of male and female intentional homicide victims- Female,0.2,
818,Egypt,2005,Kidnapping at the national level- rate per 100K,0,
818,Egypt,2005,Theft at the national level- rate per 100K population,46.3,
818,Egypt,2010,Intentional homicide rates per 100K,2.2,
818,Egypt,2010,Percentage of male and female intentional homicide victims- Male,3.9,
818,Egypt,2010,Percentage of male and female intentional homicide victims- Female,0.5,
818,Egypt,2010,Assault rate per 100K population,0.2,
818,Egypt,2010,Kidnapping at the national level- rate per 100K,0.1,
818,Egypt,2010,Theft at the national level- rate per 100K population,93.2,
818,Egypt,2010,Robbery at the national level- rate per 100K population,0.8,
818,Egypt,2010,Total Sexual Violence at the national level- rate per 100K,0.2,
818,Egypt,2011,Intentional homicide rates per 100K,3.2,
818,Egypt,2011,Percentage of male and female intentional homicide victims- Male,5.6,
818,Egypt,2011,Percentage of male and female intentional homicide victims- Female,0.8,
818,Egypt,2011,Assault rate per 100K population,0.4,
818,Egypt,2011,Kidnapping at the national level- rate per 100K,0.3,
818,Egypt,2011,Theft at the national level- rate per 100K population,103.1,
818,Egypt,2011,Robbery at the national level- rate per 100K population,3.2,
818,Egypt,2011,Total Sexual Violence at the national level- rate per 100K,0.1,
818,Egypt,2012,Intentional homicide rates per 100K,2.6,
818,Egypt,2012,Percentage of male and female intentional homicide victims- Male,4.5,
818,Egypt,2012,Percentage of male and female intentional homicide victims- Female,0.6,
222,El Salvador,2005,Intentional homicide rates per 100K,64.1,
222,El Salvador,2005,Percentage of male and female intentional homicide victims- Male,120.6,
222,El Salvador,2005,Percentage of male and female intentional homicide victims- Female,12.6,
222,El Salvador,2005,Assault rate per 100K population,76.5,
222,El Salvador,2005,Kidnapping at the national level- rate per 100K,0.1,
222,El Salvador,2005,Theft at the national level- rate per 100K population,177.1,
222,El Salvador,2010,Intentional homicide rates per 100K,64.5,
222,El Salvador,2010,Percentage of male and female intentional homicide victims- Male,117,
222,El Salvador,2010,Percentage of male and female intentional homicide victims- Female,17.3,
222,El Salvador,2010,Assault rate per 100K population,62.9,
222,El Salvador,2010,Kidnapping at the national level- rate per 100K,0.5,
222,El Salvador,2010,Theft at the national level- rate per 100K population,156.5,
222,El Salvador,2010,Robbery at the national level- rate per 100K population,87.6,
222,El Salvador,2010,Total Sexual Violence at the national level- rate per 100K,36.1,
222,El Salvador,2015,Intentional homicide rates per 100K,105.2,
222,El Salvador,2015,Percentage of male and female intentional homicide victims- Male,204.5,
222,El Salvador,2015,Percentage of male and female intentional homicide victims- Female,17.2,
222,El Salvador,2015,Assault rate per 100K population,93.1,
222,El Salvador,2015,Kidnapping at the national level- rate per 100K,0.3,
222,El Salvador,2015,Theft at the national level- rate per 100K population,135,
222,El Salvador,2015,Robbery at the national level- rate per 100K population,81.6,
222,El Salvador,2015,Total Sexual Violence at the national level- rate per 100K,70.2,
222,El Salvador,2017,Intentional homicide rates per 100K,61.7,
222,El Salvador,2017,Percentage of male and female intentional homicide victims- Male,115.9,
222,El Salvador,2017,Percentage of male and female intentional homicide victims- Female,13.8,
222,El Salvador,2017,Assault rate per 100K population,58.6,
222,El Salvador,2017,Kidnapping at the national level- rate per 100K,0.2,
222,El Salvador,2017,Robbery at the national level- rate per 100K population,59.4,
222,El Salvador,2017,Total Sexual Violence at the national level- rate per 100K,68.5,
222,El Salvador,2018,Intentional homicide rates per 100K,52,
233,Estonia,2005,Intentional homicide rates per 100K,8.3,
233,Estonia,2005,Percentage of male and female intentional homicide victims- Male,13.4,
233,Estonia,2005,Percentage of male and female intentional homicide victims- Female,3.9,
233,Estonia,2005,Assault rate per 100K population,9.7,
233,Estonia,2005,Kidnapping at the national level- rate per 100K,0.1,
233,Estonia,2005,Theft at the national level- rate per 100K population,"2,246.30",
233,Estonia,2005,Total Sexual Violence at the national level- rate per 100K,29.7,
233,Estonia,2010,Intentional homicide rates per 100K,5.3,
233,Estonia,2010,Percentage of male and female intentional homicide victims- Male,8.6,
233,Estonia,2010,Percentage of male and female intentional homicide victims- Female,2.3,
233,Estonia,2010,Assault rate per 100K population,7.7,
233,Estonia,2010,Kidnapping at the national level- rate per 100K,0,
233,Estonia,2010,Theft at the national level- rate per 100K population,"1,895.70",
233,Estonia,2010,Robbery at the national level- rate per 100K population,45,
233,Estonia,2010,Total Sexual Violence at the national level- rate per 100K,20.6,
233,Estonia,2017,Intentional homicide rates per 100K,2.2,
233,Estonia,2017,Percentage of male and female intentional homicide victims- Male,3.4,
233,Estonia,2017,Percentage of male and female intentional homicide victims- Female,1.1,
233,Estonia,2017,Assault rate per 100K population,5.8,
233,Estonia,2017,Kidnapping at the national level- rate per 100K,0,
233,Estonia,2017,Theft at the national level- rate per 100K population,578.5,
233,Estonia,2017,Robbery at the national level- rate per 100K population,15.2,
233,Estonia,2017,Total Sexual Violence at the national level- rate per 100K,19.6,
233,Estonia,2018,Intentional homicide rates per 100K,2.1,
233,Estonia,2018,Percentage of male and female intentional homicide victims- Male,3.7,
233,Estonia,2018,Percentage of male and female intentional homicide victims- Female,0.7,
233,Estonia,2018,Assault rate per 100K population,6.8,
233,Estonia,2018,Kidnapping at the national level- rate per 100K,0,
233,Estonia,2018,Theft at the national level- rate per 100K population,559.6,
748,Eswatini,2004,Intentional homicide rates per 100K,14.2,
748,Eswatini,2004,Assault rate per 100K population,"1,421.30",
748,Eswatini,2004,Kidnapping at the national level- rate per 100K,9.4,
748,Eswatini,2004,Theft at the national level- rate per 100K population,"2,031.70",
748,Eswatini,2005,Intentional homicide rates per 100K,13.5,
748,Eswatini,2010,Intentional homicide rates per 100K,19.5,
748,Eswatini,2017,Intentional homicide rates per 100K,11.6,
231,Ethiopia,2012,Intentional homicide rates per 100K,8.8,
242,Fiji,2005,Intentional homicide rates per 100K,2.8,
242,Fiji,2010,Intentional homicide rates per 100K,2.3,
242,Fiji,2014,Intentional homicide rates per 100K,2.3,
246,Finland,2005,Intentional homicide rates per 100K,2.3,
246,Finland,2005,Percentage of male and female intentional homicide victims- Male,3.3,
246,Finland,2005,Percentage of male and female intentional homicide victims- Female,1.3,
246,Finland,2005,Assault rate per 100K population,579.3,
246,Finland,2005,Kidnapping at the national level- rate per 100K,0,
246,Finland,2005,Theft at the national level- rate per 100K population,"2,378.40",
246,Finland,2005,Total Sexual Violence at the national level- rate per 100K,36.5,
246,Finland,2010,Intentional homicide rates per 100K,2.2,
246,Finland,2010,Percentage of male and female intentional homicide victims- Male,3.5,
246,Finland,2010,Percentage of male and female intentional homicide victims- Female,1,
246,Finland,2010,Assault rate per 100K population,37.2,
246,Finland,2010,Kidnapping at the national level- rate per 100K,0,
246,Finland,2010,Theft at the national level- rate per 100K population,"1,853.10",
246,Finland,2010,Robbery at the national level- rate per 100K population,28.1,
246,Finland,2010,Total Sexual Violence at the national level- rate per 100K,45,
246,Finland,2017,Intentional homicide rates per 100K,1.3,
246,Finland,2017,Percentage of male and female intentional homicide victims- Male,1.4,
246,Finland,2017,Percentage of male and female intentional homicide victims- Female,1.1,
246,Finland,2017,Assault rate per 100K population,28.7,
246,Finland,2017,Kidnapping at the national level- rate per 100K,0,
246,Finland,2017,Theft at the national level- rate per 100K population,"2,000.30",
246,Finland,2017,Robbery at the national level- rate per 100K population,29.8,
246,Finland,2017,Total Sexual Violence at the national level- rate per 100K,55.4,
246,Finland,2018,Intentional homicide rates per 100K,1.6,
246,Finland,2018,Percentage of male and female intentional homicide victims- Male,2.3,
246,Finland,2018,Percentage of male and female intentional homicide victims- Female,1,
246,Finland,2018,Assault rate per 100K population,29.1,
246,Finland,2018,Kidnapping at the national level- rate per 100K,0.1,
246,Finland,2018,Theft at the national level- rate per 100K population,"1,954.50",
250,France,2005,Intentional homicide rates per 100K,1.6,
250,France,2005,Assault rate per 100K population,243.2,
250,France,2005,Kidnapping at the national level- rate per 100K,3.3,
250,France,2005,Theft at the national level- rate per 100K population,"1,366.30",
250,France,2005,Total Sexual Violence at the national level- rate per 100K,39.1,
250,France,2010,Intentional homicide rates per 100K,1.3,
250,France,2010,Assault rate per 100K population,368.8,
250,France,2010,Kidnapping at the national level- rate per 100K,3.3,
250,France,2010,Theft at the national level- rate per 100K population,"1,864.80",
250,France,2010,Robbery at the national level- rate per 100K population,192.5,
250,France,2010,Total Sexual Violence at the national level- rate per 100K,36.5,
250,France,2016,Intentional homicide rates per 100K,1.4,
250,France,2016,Percentage of male and female intentional homicide victims- Male,1.7,
250,France,2016,Percentage of male and female intentional homicide victims- Female,1,
250,France,2016,Assault rate per 100K population,375.6,
250,France,2016,Kidnapping at the national level- rate per 100K,5.9,
250,France,2016,Theft at the national level- rate per 100K population,"2,136.20",
250,France,2016,Robbery at the national level- rate per 100K population,161.5,
250,France,2016,Total Sexual Violence at the national level- rate per 100K,58,
250,France,2017,Intentional homicide rates per 100K,1.3,
250,France,2017,Percentage of male and female intentional homicide victims- Male,1.6,
250,France,2017,Percentage of male and female intentional homicide victims- Female,0.9,
250,France,2017,Robbery at the national level- rate per 100K population,154.3,
250,France,2017,Total Sexual Violence at the national level- rate per 100K,64.1,
250,France,2018,Intentional homicide rates per 100K,1.2,
250,France,2018,Percentage of male and female intentional homicide victims- Male,1.7,
250,France,2018,Percentage of male and female intentional homicide victims- Female,0.7,
254,French Guiana,2005,Intentional homicide rates per 100K,22.2,
254,French Guiana,2009,Intentional homicide rates per 100K,13.2,
254,French Guiana,2009,Percentage of male and female intentional homicide victims- Male,21.6,
254,French Guiana,2009,Percentage of male and female intentional homicide victims- Female,4.8,
258,French Polynesia,2009,Intentional homicide rates per 100K,0.4,
268,Georgia,2005,Intentional homicide rates per 100K,9.6,
268,Georgia,2005,Percentage of male and female intentional homicide victims- Male,16.5,
268,Georgia,2005,Percentage of male and female intentional homicide victims- Female,3.3,
268,Georgia,2005,Assault rate per 100K population,8.7,
