Cod,Region/Country/Area,Year,Series,Value
854,Burkina Faso,2005,Labour force participation - Total,74.2
854,Burkina Faso,2005,Unemployment rate - Total,4
854,Burkina Faso,2005,Labour force participation - Male,86.8
854,Burkina Faso,2005,Unemployment rate - Male,3.5
854,Burkina Faso,2005,Labour force participation - Female,62.4
854,Burkina Faso,2005,Unemployment rate - Female,4.6
854,Burkina Faso,2010,Labour force participation - Total,70.4
854,Burkina Faso,2010,Unemployment rate - Total,4.7
854,Burkina Faso,2010,Labour force participation - Male,81.7
854,Burkina Faso,2010,Unemployment rate - Male,3.6
854,Burkina Faso,2010,Labour force participation - Female,59.7
854,Burkina Faso,2010,Unemployment rate - Female,6.2
854,Burkina Faso,2015,Labour force participation - Total,66.7
854,Burkina Faso,2015,Unemployment rate - Total,6.4
854,Burkina Faso,2015,Labour force participation - Male,75.4
854,Burkina Faso,2015,Unemployment rate - Male,4
854,Burkina Faso,2015,Labour force participation - Female,58.3
854,Burkina Faso,2015,Unemployment rate - Female,9.4
854,Burkina Faso,2020,Labour force participation - Total,66.3
854,Burkina Faso,2020,Unemployment rate - Total,6.4
854,Burkina Faso,2020,Labour force participation - Male,74.7
854,Burkina Faso,2020,Unemployment rate - Male,4
854,Burkina Faso,2020,Labour force participation - Female,58.2
854,Burkina Faso,2020,Unemployment rate - Female,9.5
108,Burundi,2005,Labour force participation - Total,80.4
108,Burundi,2005,Unemployment rate - Total,1.8
108,Burundi,2005,Labour force participation - Male,79.2
108,Burundi,2005,Unemployment rate - Male,2.4
108,Burundi,2005,Labour force participation - Female,81.6
108,Burundi,2005,Unemployment rate - Female,1.3
108,Burundi,2010,Labour force participation - Total,78.8
108,Burundi,2010,Unemployment rate - Total,1.8
108,Burundi,2010,Labour force participation - Male,77.3
108,Burundi,2010,Unemployment rate - Male,2.3
108,Burundi,2010,Labour force participation - Female,80.2
108,Burundi,2010,Unemployment rate - Female,1.3
108,Burundi,2015,Labour force participation - Total,78.6
108,Burundi,2015,Unemployment rate - Total,1.6
108,Burundi,2015,Labour force participation - Male,77.1
108,Burundi,2015,Unemployment rate - Male,2
108,Burundi,2015,Labour force participation - Female,80
108,Burundi,2015,Unemployment rate - Female,1.1
108,Burundi,2020,Labour force participation - Total,79.1
108,Burundi,2020,Unemployment rate - Total,1.4
108,Burundi,2020,Labour force participation - Male,77.8
108,Burundi,2020,Unemployment rate - Male,1.9
108,Burundi,2020,Labour force participation - Female,80.4
108,Burundi,2020,Unemployment rate - Female,1
132,Cabo Verde,2005,Labour force participation - Total,57.6
132,Cabo Verde,2005,Unemployment rate - Total,10.6
132,Cabo Verde,2005,Labour force participation - Male,71.5
132,Cabo Verde,2005,Unemployment rate - Male,10.4
132,Cabo Verde,2005,Labour force participation - Female,45
132,Cabo Verde,2005,Unemployment rate - Female,11
132,Cabo Verde,2010,Labour force participation - Total,58.6
132,Cabo Verde,2010,Unemployment rate - Total,10.7
132,Cabo Verde,2010,Labour force participation - Male,70.2
132,Cabo Verde,2010,Unemployment rate - Male,10.4
132,Cabo Verde,2010,Labour force participation - Female,47.1
132,Cabo Verde,2010,Unemployment rate - Female,11.1
132,Cabo Verde,2015,Labour force participation - Total,59.9
132,Cabo Verde,2015,Unemployment rate - Total,11.9
132,Cabo Verde,2015,Labour force participation - Male,68.7
132,Cabo Verde,2015,Unemployment rate - Male,11.6
132,Cabo Verde,2015,Labour force participation - Female,51.2
132,Cabo Verde,2015,Unemployment rate - Female,12.4
132,Cabo Verde,2020,Labour force participation - Total,60.6
132,Cabo Verde,2020,Unemployment rate - Total,12.3
132,Cabo Verde,2020,Labour force participation - Male,67.6
132,Cabo Verde,2020,Unemployment rate - Male,13
132,Cabo Verde,2020,Labour force participation - Female,53.6
132,Cabo Verde,2020,Unemployment rate - Female,11.5
116,Cambodia,2005,Labour force participation - Total,81
116,Cambodia,2005,Unemployment rate - Total,1.4
116,Cambodia,2005,Labour force participation - Male,86.9
116,Cambodia,2005,Unemployment rate - Male,1.2
116,Cambodia,2005,Labour force participation - Female,75.7
116,Cambodia,2005,Unemployment rate - Female,1.5
116,Cambodia,2010,Labour force participation - Total,85.2
116,Cambodia,2010,Unemployment rate - Total,0.8
116,Cambodia,2010,Labour force participation - Male,89.1
116,Cambodia,2010,Unemployment rate - Male,0.8
116,Cambodia,2010,Labour force participation - Female,81.8
116,Cambodia,2010,Unemployment rate - Female,0.8
116,Cambodia,2015,Labour force participation - Total,80.3
116,Cambodia,2015,Unemployment rate - Total,0.4
116,Cambodia,2015,Labour force participation - Male,86.9
116,Cambodia,2015,Unemployment rate - Male,0.3
116,Cambodia,2015,Labour force participation - Female,74.3
116,Cambodia,2015,Unemployment rate - Female,0.5
116,Cambodia,2020,Labour force participation - Total,82.4
116,Cambodia,2020,Unemployment rate - Total,0.7
116,Cambodia,2020,Labour force participation - Male,89
116,Cambodia,2020,Unemployment rate - Male,0.6
116,Cambodia,2020,Labour force participation - Female,76.3
116,Cambodia,2020,Unemployment rate - Female,0.9
120,Cameroon,2005,Labour force participation - Total,81.8
120,Cameroon,2005,Unemployment rate - Total,4.4
120,Cameroon,2005,Labour force participation - Male,85.4
120,Cameroon,2005,Unemployment rate - Male,4.2
120,Cameroon,2005,Labour force participation - Female,78.2
120,Cameroon,2005,Unemployment rate - Female,4.6
120,Cameroon,2010,Labour force participation - Total,76
120,Cameroon,2010,Unemployment rate - Total,4.1
120,Cameroon,2010,Labour force participation - Male,81.4
120,Cameroon,2010,Unemployment rate - Male,3.4
120,Cameroon,2010,Labour force participation - Female,70.6
120,Cameroon,2010,Unemployment rate - Female,4.9
120,Cameroon,2015,Labour force participation - Total,76.3
120,Cameroon,2015,Unemployment rate - Total,3.5
120,Cameroon,2015,Labour force participation - Male,81.6
120,Cameroon,2015,Unemployment rate - Male,3.1
120,Cameroon,2015,Labour force participation - Female,71.1
120,Cameroon,2015,Unemployment rate - Female,4
120,Cameroon,2020,Labour force participation - Total,75.9
120,Cameroon,2020,Unemployment rate - Total,3.4
120,Cameroon,2020,Labour force participation - Male,81
120,Cameroon,2020,Unemployment rate - Male,3
120,Cameroon,2020,Labour force participation - Female,70.9
120,Cameroon,2020,Unemployment rate - Female,3.9
124,Canada,2005,Labour force participation - Total,66.7
124,Canada,2005,Unemployment rate - Total,6.8
124,Canada,2005,Labour force participation - Male,72.6
124,Canada,2005,Unemployment rate - Male,7
124,Canada,2005,Labour force participation - Female,60.9
124,Canada,2005,Unemployment rate - Female,6.5
124,Canada,2010,Labour force participation - Total,66.6
124,Canada,2010,Unemployment rate - Total,8.1
124,Canada,2010,Labour force participation - Male,71.5
124,Canada,2010,Unemployment rate - Male,8.8
124,Canada,2010,Labour force participation - Female,61.9
124,Canada,2010,Unemployment rate - Female,7.2
124,Canada,2015,Labour force participation - Total,65.6
124,Canada,2015,Unemployment rate - Total,6.9
124,Canada,2015,Labour force participation - Male,70.5
124,Canada,2015,Unemployment rate - Male,7.5
124,Canada,2015,Labour force participation - Female,60.9
124,Canada,2015,Unemployment rate - Female,6.3
124,Canada,2020,Labour force participation - Total,64.9
124,Canada,2020,Unemployment rate - Total,5.4
124,Canada,2020,Labour force participation - Male,69.2
124,Canada,2020,Unemployment rate - Male,5.7
124,Canada,2020,Labour force participation - Female,60.7
124,Canada,2020,Unemployment rate - Female,5.1
136,Cayman Islands,2005,Unemployment rate - Total,3.5
136,Cayman Islands,2009,Labour force participation - Total,84.2
136,Cayman Islands,2009,Unemployment rate - Total,6
136,Cayman Islands,2009,Labour force participation - Male,88
136,Cayman Islands,2009,Unemployment rate - Male,7
136,Cayman Islands,2009,Labour force participation - Female,80.6
136,Cayman Islands,2009,Unemployment rate - Female,5
136,Cayman Islands,2010,Labour force participation - Total,81.8
136,Cayman Islands,2010,Unemployment rate - Total,6.7
136,Cayman Islands,2013,Labour force participation - Total,83.1
136,Cayman Islands,2013,Unemployment rate - Total,6.3
136,Cayman Islands,2013,Labour force participation - Male,85.6
136,Cayman Islands,2013,Unemployment rate - Male,6.7
136,Cayman Islands,2013,Labour force participation - Female,80.6
136,Cayman Islands,2013,Unemployment rate - Female,5.8
140,Central African Republic,2005,Labour force participation - Total,72.4
140,Central African Republic,2005,Unemployment rate - Total,3.9
140,Central African Republic,2005,Labour force participation - Male,80
140,Central African Republic,2005,Unemployment rate - Male,4
140,Central African Republic,2005,Labour force participation - Female,65.1
140,Central African Republic,2005,Unemployment rate - Female,3.8
140,Central African Republic,2010,Labour force participation - Total,72.6
140,Central African Republic,2010,Unemployment rate - Total,3.9
140,Central African Republic,2010,Labour force participation - Male,80.4
140,Central African Republic,2010,Unemployment rate - Male,4
140,Central African Republic,2010,Labour force participation - Female,65
140,Central African Republic,2010,Unemployment rate - Female,3.8
140,Central African Republic,2015,Labour force participation - Total,72.8
140,Central African Republic,2015,Unemployment rate - Total,3.9
140,Central African Republic,2015,Labour force participation - Male,81.2
140,Central African Republic,2015,Unemployment rate - Male,3.9
140,Central African Republic,2015,Labour force participation - Female,64.7
140,Central African Republic,2015,Unemployment rate - Female,3.8
140,Central African Republic,2020,Labour force participation - Total,71.9
140,Central African Republic,2020,Unemployment rate - Total,3.7
140,Central African Republic,2020,Labour force participation - Male,79.8
140,Central African Republic,2020,Unemployment rate - Male,3.8
140,Central African Republic,2020,Labour force participation - Female,64.4
140,Central African Republic,2020,Unemployment rate - Female,3.6
148,Chad,2005,Labour force participation - Total,71.9
148,Chad,2005,Unemployment rate - Total,1.3
148,Chad,2005,Labour force participation - Male,80
148,Chad,2005,Unemployment rate - Male,1.6
148,Chad,2005,Labour force participation - Female,63.9
148,Chad,2005,Unemployment rate - Female,0.8
148,Chad,2010,Labour force participation - Total,71.5
148,Chad,2010,Unemployment rate - Total,1.6
148,Chad,2010,Labour force participation - Male,79.3
148,Chad,2010,Unemployment rate - Male,1.9
148,Chad,2010,Labour force participation - Female,63.8
148,Chad,2010,Unemployment rate - Female,1.2
148,Chad,2015,Labour force participation - Total,70.9
148,Chad,2015,Unemployment rate - Total,1.8
148,Chad,2015,Labour force participation - Male,78.2
148,Chad,2015,Unemployment rate - Male,2.1
148,Chad,2015,Labour force participation - Female,63.8
148,Chad,2015,Unemployment rate - Female,1.6
148,Chad,2020,Labour force participation - Total,70.7
148,Chad,2020,Unemployment rate - Total,1.9
148,Chad,2020,Labour force participation - Male,77.5
148,Chad,2020,Unemployment rate - Male,2.1
148,Chad,2020,Labour force participation - Female,63.9
148,Chad,2020,Unemployment rate - Female,1.8
830,Channel Islands,2005,Labour force participation - Total,59.3
830,Channel Islands,2005,Unemployment rate - Total,8
830,Channel Islands,2005,Labour force participation - Male,69
830,Channel Islands,2005,Unemployment rate - Male,8.1
830,Channel Islands,2005,Labour force participation - Female,50.1
830,Channel Islands,2005,Unemployment rate - Female,7.9
830,Channel Islands,2010,Labour force participation - Total,59.1
830,Channel Islands,2010,Unemployment rate - Total,8.4
830,Channel Islands,2010,Labour force participation - Male,67.8
830,Channel Islands,2010,Unemployment rate - Male,8.3
830,Channel Islands,2010,Labour force participation - Female,50.8
830,Channel Islands,2010,Unemployment rate - Female,8.6
830,Channel Islands,2015,Labour force participation - Total,58.9
830,Channel Islands,2015,Unemployment rate - Total,8.1
830,Channel Islands,2015,Labour force participation - Male,67.1
830,Channel Islands,2015,Unemployment rate - Male,7.9
830,Channel Islands,2015,Labour force participation - Female,51
830,Channel Islands,2015,Unemployment rate - Female,8.3
830,Channel Islands,2020,Labour force participation - Total,58
830,Channel Islands,2020,Unemployment rate - Total,7.5
830,Channel Islands,2020,Labour force participation - Male,65.6
830,Channel Islands,2020,Unemployment rate - Male,7.4
830,Channel Islands,2020,Labour force participation - Female,50.6
830,Channel Islands,2020,Unemployment rate - Female,7.7
152,Chile,2005,Labour force participation - Total,57.3
152,Chile,2005,Unemployment rate - Total,9.3
152,Chile,2005,Labour force participation - Male,74
152,Chile,2005,Unemployment rate - Male,7.6
152,Chile,2005,Labour force participation - Female,41.4
152,Chile,2005,Unemployment rate - Female,12.3
152,Chile,2010,Labour force participation - Total,60.4
152,Chile,2010,Unemployment rate - Total,8.4
152,Chile,2010,Labour force participation - Male,74.6
152,Chile,2010,Unemployment rate - Male,7.4
152,Chile,2010,Labour force participation - Female,46.9
152,Chile,2010,Unemployment rate - Female,9.9
152,Chile,2015,Labour force participation - Total,62.1
152,Chile,2015,Unemployment rate - Total,6.5
152,Chile,2015,Labour force participation - Male,74.7
152,Chile,2015,Unemployment rate - Male,6.1
152,Chile,2015,Labour force participation - Female,50.1
152,Chile,2015,Unemployment rate - Female,7.1
152,Chile,2020,Labour force participation - Total,62.8
152,Chile,2020,Unemployment rate - Total,7.1
152,Chile,2020,Labour force participation - Male,74.1
152,Chile,2020,Unemployment rate - Male,6.6
152,Chile,2020,Labour force participation - Female,52
152,Chile,2020,Unemployment rate - Female,7.8
156,China,2005,Labour force participation - Total,73.6
156,China,2005,Unemployment rate - Total,4.5
156,China,2005,Labour force participation - Male,80
156,China,2005,Unemployment rate - Male,5
156,China,2005,Labour force participation - Female,66.9
156,China,2005,Unemployment rate - Female,3.9
156,China,2010,Labour force participation - Total,71.3
156,China,2010,Unemployment rate - Total,4.5
156,China,2010,Labour force participation - Male,78.3
156,China,2010,Unemployment rate - Male,5
156,China,2010,Labour force participation - Female,64
156,China,2010,Unemployment rate - Female,3.9
156,China,2015,Labour force participation - Total,69.8
156,China,2015,Unemployment rate - Total,4.6
156,China,2015,Labour force participation - Male,76.9
156,China,2015,Unemployment rate - Male,5.1
156,China,2015,Labour force participation - Female,62.5
156,China,2015,Unemployment rate - Female,4
156,China,2020,Labour force participation - Total,67.5
156,China,2020,Unemployment rate - Total,4.4
156,China,2020,Labour force participation - Male,74.8
156,China,2020,Unemployment rate - Male,4.8
156,China,2020,Labour force participation - Female,59.8
156,China,2020,Unemployment rate - Female,3.8
344,China- Hong Kong SAR,2005,Labour force participation - Total,60.9
344,China- Hong Kong SAR,2005,Unemployment rate - Total,5.6
344,China- Hong Kong SAR,2005,Labour force participation - Male,71.1
344,China- Hong Kong SAR,2005,Unemployment rate - Male,6.5
344,China- Hong Kong SAR,2005,Labour force participation - Female,51.7
344,China- Hong Kong SAR,2005,Unemployment rate - Female,4.4
344,China- Hong Kong SAR,2010,Labour force participation - Total,59.2
344,China- Hong Kong SAR,2010,Unemployment rate - Total,4.3
344,China- Hong Kong SAR,2010,Labour force participation - Male,68.1
344,China- Hong Kong SAR,2010,Unemployment rate - Male,5
344,China- Hong Kong SAR,2010,Labour force participation - Female,51.4
344,China- Hong Kong SAR,2010,Unemployment rate - Female,3.5
344,China- Hong Kong SAR,2015,Labour force participation - Total,60.8
344,China- Hong Kong SAR,2015,Unemployment rate - Total,3.3
344,China- Hong Kong SAR,2015,Labour force participation - Male,68.5
344,China- Hong Kong SAR,2015,Unemployment rate - Male,3.4
344,China- Hong Kong SAR,2015,Labour force participation - Female,54.3
344,China- Hong Kong SAR,2015,Unemployment rate - Female,3.2
344,China- Hong Kong SAR,2020,Labour force participation - Total,59.7
344,China- Hong Kong SAR,2020,Unemployment rate - Total,4.3
344,China- Hong Kong SAR,2020,Labour force participation - Male,67
344,China- Hong Kong SAR,2020,Unemployment rate - Male,4.9
344,China- Hong Kong SAR,2020,Labour force participation - Female,53.7
344,China- Hong Kong SAR,2020,Unemployment rate - Female,3.6
446,China- Macao SAR,2005,Labour force participation - Total,64.4
446,China- Macao SAR,2005,Unemployment rate - Total,4.1
446,China- Macao SAR,2005,Labour force participation - Male,72.5
446,China- Macao SAR,2005,Unemployment rate - Male,4.4
446,China- Macao SAR,2005,Labour force participation - Female,57.3
446,China- Macao SAR,2005,Unemployment rate - Female,3.8
446,China- Macao SAR,2010,Labour force participation - Total,70.8
446,China- Macao SAR,2010,Unemployment rate - Total,2.8
446,China- Macao SAR,2010,Labour force participation - Male,76.9
446,China- Macao SAR,2010,Unemployment rate - Male,3.6
446,China- Macao SAR,2010,Labour force participation - Female,65.3
446,China- Macao SAR,2010,Unemployment rate - Female,2.1
446,China- Macao SAR,2015,Labour force participation - Total,71.6
446,China- Macao SAR,2015,Unemployment rate - Total,1.8
446,China- Macao SAR,2015,Labour force participation - Male,77.2
446,China- Macao SAR,2015,Unemployment rate - Male,2
446,China- Macao SAR,2015,Labour force participation - Female,66.6
446,China- Macao SAR,2015,Unemployment rate - Female,1.6
446,China- Macao SAR,2020,Labour force participation - Total,70.2
446,China- Macao SAR,2020,Unemployment rate - Total,2.5
446,China- Macao SAR,2020,Labour force participation - Male,76.3
446,China- Macao SAR,2020,Unemployment rate - Male,3
446,China- Macao SAR,2020,Labour force participation - Female,64.6
446,China- Macao SAR,2020,Unemployment rate - Female,2
170,Colombia,2005,Labour force participation - Total,66.3
170,Colombia,2005,Unemployment rate - Total,11.9
170,Colombia,2005,Labour force participation - Male,81.2
170,Colombia,2005,Unemployment rate - Male,9.1
170,Colombia,2005,Labour force participation - Female,52.5
170,Colombia,2005,Unemployment rate - Female,15.9
170,Colombia,2010,Labour force participation - Total,68.2
170,Colombia,2010,Unemployment rate - Total,11
170,Colombia,2010,Labour force participation - Male,81.6
170,Colombia,2010,Unemployment rate - Male,8.6
170,Colombia,2010,Labour force participation - Female,55.7
170,Colombia,2010,Unemployment rate - Female,14.2
170,Colombia,2015,Labour force participation - Total,69.9
170,Colombia,2015,Unemployment rate - Total,8.3
170,Colombia,2015,Labour force participation - Male,82
170,Colombia,2015,Unemployment rate - Male,6.4
170,Colombia,2015,Labour force participation - Female,58.5
170,Colombia,2015,Unemployment rate - Female,10.8
170,Colombia,2020,Labour force participation - Total,68.9
170,Colombia,2020,Unemployment rate - Total,9.7
170,Colombia,2020,Labour force participation - Male,81
170,Colombia,2020,Unemployment rate - Male,7.5
170,Colombia,2020,Labour force participation - Female,57.5
170,Colombia,2020,Unemployment rate - Female,12.7
174,Comoros,2005,Labour force participation - Total,41.8
174,Comoros,2005,Unemployment rate - Total,4.5
174,Comoros,2005,Labour force participation - Male,50.2
174,Comoros,2005,Unemployment rate - Male,4.3
174,Comoros,2005,Labour force participation - Female,33.3
174,Comoros,2005,Unemployment rate - Female,4.9
174,Comoros,2010,Labour force participation - Total,42.1
174,Comoros,2010,Unemployment rate - Total,4.6
174,Comoros,2010,Labour force participation - Male,49.7
174,Comoros,2010,Unemployment rate - Male,4.3
174,Comoros,2010,Labour force participation - Female,34.5
174,Comoros,2010,Unemployment rate - Female,4.9
174,Comoros,2015,Labour force participation - Total,42.8
174,Comoros,2015,Unemployment rate - Total,4.5
174,Comoros,2015,Labour force participation - Male,49.8
174,Comoros,2015,Unemployment rate - Male,4.2
174,Comoros,2015,Labour force participation - Female,35.7
174,Comoros,2015,Unemployment rate - Female,4.9
174,Comoros,2020,Labour force participation - Total,43.4
174,Comoros,2020,Unemployment rate - Total,4.4
174,Comoros,2020,Labour force participation - Male,50
174,Comoros,2020,Unemployment rate - Male,4.1
174,Comoros,2020,Labour force participation - Female,36.8
174,Comoros,2020,Unemployment rate - Female,4.8
178,Congo,2005,Labour force participation - Total,68.9
178,Congo,2005,Unemployment rate - Total,19.8
178,Congo,2005,Labour force participation - Male,70.9
178,Congo,2005,Unemployment rate - Male,18.5
178,Congo,2005,Labour force participation - Female,66.9
178,Congo,2005,Unemployment rate - Female,21.1
178,Congo,2010,Labour force participation - Total,69.6
178,Congo,2010,Unemployment rate - Total,14
178,Congo,2010,Labour force participation - Male,71.5
178,Congo,2010,Unemployment rate - Male,12.4
178,Congo,2010,Labour force participation - Female,67.7
178,Congo,2010,Unemployment rate - Female,15.6
178,Congo,2015,Labour force participation - Total,69.8
178,Congo,2015,Unemployment rate - Total,9.9
178,Congo,2015,Labour force participation - Male,71.9
178,Congo,2015,Unemployment rate - Male,9.1
178,Congo,2015,Labour force participation - Female,67.7
178,Congo,2015,Unemployment rate - Female,10.8
178,Congo,2020,Labour force participation - Total,69.3
178,Congo,2020,Unemployment rate - Total,9.3
178,Congo,2020,Labour force participation - Male,71.2
178,Congo,2020,Unemployment rate - Male,8.7
178,Congo,2020,Labour force participation - Female,67.4
178,Congo,2020,Unemployment rate - Female,9.9
184,Cook Islands,2001,Labour force participation - Total,74.5
184,Cook Islands,2001,Labour force participation - Male,75.5
184,Cook Islands,2001,Labour force participation - Female,63
184,Cook Islands,2006,Labour force participation - Total,70.2
184,Cook Islands,2006,Unemployment rate - Total,6.9
184,Cook Islands,2006,Labour force participation - Male,76.1
184,Cook Islands,2006,Unemployment rate - Male,6.7
184,Cook Islands,2006,Labour force participation - Female,64.2
184,Cook Islands,2006,Unemployment rate - Female,7.3
184,Cook Islands,2011,Labour force participation - Total,71
184,Cook Islands,2011,Unemployment rate - Total,8.2
184,Cook Islands,2011,Labour force participation - Male,76.6
184,Cook Islands,2011,Unemployment rate - Male,8.2
184,Cook Islands,2011,Labour force participation - Female,65.4
184,Cook Islands,2011,Unemployment rate - Female,8.1
188,Costa Rica,2005,Labour force participation - Total,62.5
188,Costa Rica,2005,Unemployment rate - Total,6.6
188,Costa Rica,2005,Labour force participation - Male,80.4
188,Costa Rica,2005,Unemployment rate - Male,5
188,Costa Rica,2005,Labour force participation - Female,44.7
188,Costa Rica,2005,Unemployment rate - Female,9.3
188,Costa Rica,2010,Labour force participation - Total,60.8
188,Costa Rica,2010,Unemployment rate - Total,7.2
188,Costa Rica,2010,Labour force participation - Male,76.5
188,Costa Rica,2010,Unemployment rate - Male,6
188,Costa Rica,2010,Labour force participation - Female,45.3
188,Costa Rica,2010,Unemployment rate - Female,9.1
188,Costa Rica,2015,Labour force participation - Total,62
188,Costa Rica,2015,Unemployment rate - Total,9
188,Costa Rica,2015,Labour force participation - Male,75.6
188,Costa Rica,2015,Unemployment rate - Male,7.6
188,Costa Rica,2015,Labour force participation - Female,48.4
188,Costa Rica,2015,Unemployment rate - Female,11.2
188,Costa Rica,2020,Labour force participation - Total,62
188,Costa Rica,2020,Unemployment rate - Total,12.7
188,Costa Rica,2020,Labour force participation - Male,75.9
188,Costa Rica,2020,Unemployment rate - Male,10.7
188,Costa Rica,2020,Labour force participation - Female,48.2
188,Costa Rica,2020,Unemployment rate - Female,15.9
384,Côte d’Ivoire,2005,Labour force participation - Total,62.9
384,Côte d’Ivoire,2005,Unemployment rate - Total,5.5
384,Côte d’Ivoire,2005,Labour force participation - Male,76.7
384,Côte d’Ivoire,2005,Unemployment rate - Male,5.6
384,Côte d’Ivoire,2005,Labour force participation - Female,48
384,Côte d’Ivoire,2005,Unemployment rate - Female,5.4
384,Côte d’Ivoire,2010,Labour force participation - Total,60.3
384,Côte d’Ivoire,2010,Unemployment rate - Total,6.7
384,Côte d’Ivoire,2010,Labour force participation - Male,72.1
384,Côte d’Ivoire,2010,Unemployment rate - Male,6.8
384,Côte d’Ivoire,2010,Labour force participation - Female,47.8
384,Côte d’Ivoire,2010,Unemployment rate - Female,6.6
384,Côte d’Ivoire,2015,Labour force participation - Total,57.7
384,Côte d’Ivoire,2015,Unemployment rate - Total,3.1
384,Côte d’Ivoire,2015,Labour force participation - Male,67.3
384,Côte d’Ivoire,2015,Unemployment rate - Male,2.5
384,Côte d’Ivoire,2015,Labour force participation - Female,47.8
384,Côte d’Ivoire,2015,Unemployment rate - Female,4
384,Côte d’Ivoire,2020,Labour force participation - Total,56.9
384,Côte d’Ivoire,2020,Unemployment rate - Total,3.4
384,Côte d’Ivoire,2020,Labour force participation - Male,65.4
384,Côte d’Ivoire,2020,Unemployment rate - Male,3.2
384,Côte d’Ivoire,2020,Labour force participation - Female,48.3
384,Côte d’Ivoire,2020,Unemployment rate - Female,3.8
191,Croatia,2005,Labour force participation - Total,53.3
191,Croatia,2005,Unemployment rate - Total,12.6
191,Croatia,2005,Labour force participation - Male,61.1
191,Croatia,2005,Unemployment rate - Male,11.6
191,Croatia,2005,Labour force participation - Female,46.2
191,Croatia,2005,Unemployment rate - Female,13.8
191,Croatia,2010,Labour force participation - Total,52.7
191,Croatia,2010,Unemployment rate - Total,11.6
191,Croatia,2010,Labour force participation - Male,59.8
191,Croatia,2010,Unemployment rate - Male,11
191,Croatia,2010,Labour force participation - Female,46.2
191,Croatia,2010,Unemployment rate - Female,12.3
191,Croatia,2015,Labour force participation - Total,52.5
191,Croatia,2015,Unemployment rate - Total,16.2
191,Croatia,2015,Labour force participation - Male,59.2
191,Croatia,2015,Unemployment rate - Male,15.6
191,Croatia,2015,Labour force participation - Female,46.6
191,Croatia,2015,Unemployment rate - Female,16.9
191,Croatia,2020,Labour force participation - Total,51
191,Croatia,2020,Unemployment rate - Total,7.1
191,Croatia,2020,Labour force participation - Male,57.2
191,Croatia,2020,Unemployment rate - Male,6.1
191,Croatia,2020,Labour force participation - Female,45.3
191,Croatia,2020,Unemployment rate - Female,8.3
192,Cuba,2005,Labour force participation - Total,52.5
192,Cuba,2005,Unemployment rate - Total,2
192,Cuba,2005,Labour force participation - Male,67.1
192,Cuba,2005,Unemployment rate - Male,1.8
192,Cuba,2005,Labour force participation - Female,38.3
192,Cuba,2005,Unemployment rate - Female,2.2
192,Cuba,2010,Labour force participation - Total,55.1
192,Cuba,2010,Unemployment rate - Total,2.5
192,Cuba,2010,Labour force participation - Male,68.4
192,Cuba,2010,Unemployment rate - Male,2.4
192,Cuba,2010,Labour force participation - Female,42
192,Cuba,2010,Unemployment rate - Female,2.7
192,Cuba,2015,Labour force participation - Total,54.2
192,Cuba,2015,Unemployment rate - Total,2.4
192,Cuba,2015,Labour force participation - Male,67.1
192,Cuba,2015,Unemployment rate - Male,2.3
192,Cuba,2015,Labour force participation - Female,41.6
192,Cuba,2015,Unemployment rate - Female,2.6
192,Cuba,2020,Labour force participation - Total,53.4
192,Cuba,2020,Unemployment rate - Total,1.6
192,Cuba,2020,Labour force participation - Male,66.7
192,Cuba,2020,Unemployment rate - Male,1.5
192,Cuba,2020,Labour force participation - Female,40.5
192,Cuba,2020,Unemployment rate - Female,1.7
531,Curaçao,2005,Labour force participation - Total,59.4
531,Curaçao,2005,Unemployment rate - Total,18.2
531,Curaçao,2005,Labour force participation - Male,65.4
531,Curaçao,2005,Unemployment rate - Male,17.1
531,Curaçao,2005,Labour force participation - Female,54.8
531,Curaçao,2005,Unemployment rate - Female,19.2
531,Curaçao,2008,Labour force participation - Total,59
531,Curaçao,2008,Unemployment rate - Total,10.3
531,Curaçao,2008,Labour force participation - Male,66.5
531,Curaçao,2008,Unemployment rate - Male,8
531,Curaçao,2008,Labour force participation - Female,53.2
531,Curaçao,2008,Unemployment rate - Female,12.5
531,Curaçao,2009,Unemployment rate - Total,9.6
531,Curaçao,2009,Unemployment rate - Male,7.8
531,Curaçao,2009,Unemployment rate - Female,11.2
531,Curaçao,2013,Unemployment rate - Total,13
531,Curaçao,2013,Unemployment rate - Male,10.5
531,Curaçao,2013,Unemployment rate - Female,15.4
196,Cyprus,2005,Labour force participation - Total,63
196,Cyprus,2005,Unemployment rate - Total,5.3
196,Cyprus,2005,Labour force participation - Male,72.7
196,Cyprus,2005,Unemployment rate - Male,4.4
196,Cyprus,2005,Labour force participation - Female,53.2
196,Cyprus,2005,Unemployment rate - Female,6.5
196,Cyprus,2010,Labour force participation - Total,64.1
196,Cyprus,2010,Unemployment rate - Total,6.3
196,Cyprus,2010,Labour force participation - Male,70.6
196,Cyprus,2010,Unemployment rate - Male,6.1
196,Cyprus,2010,Labour force participation - Female,57.6
196,Cyprus,2010,Unemployment rate - Female,6.4
196,Cyprus,2015,Labour force participation - Total,62.6
196,Cyprus,2015,Unemployment rate - Total,14.9
196,Cyprus,2015,Labour force participation - Male,67.4
196,Cyprus,2015,Unemployment rate - Male,15
196,Cyprus,2015,Labour force participation - Female,57.9
196,Cyprus,2015,Unemployment rate - Female,14.8
196,Cyprus,2020,Labour force participation - Total,62.9
