Region,Year,Series,Value
Belize,2015,Labour force participation - Total,64
Belize,2015,Unemployment rate - Total,7.6
Belize,2015,Labour force participation - Male,80
Belize,2015,Unemployment rate - Male,5.4
Belize,2015,Labour force participation - Female,48.4
Belize,2015,Unemployment rate - Female,11.1
Belize,2020,Labour force participation - Total,65.2
Belize,2020,Unemployment rate - Total,6.4
Belize,2020,Labour force participation - Male,80.6
Belize,2020,Unemployment rate - Male,4.3
Belize,2020,Labour force participation - Female,50.2
Belize,2020,Unemployment rate - Female,9.5
Benin,2005,Labour force participation - Total,71.9
Benin,2005,Unemployment rate - Total,0.8
Benin,2005,Labour force participation - Male,76.6
Benin,2005,Unemployment rate - Male,1
Benin,2005,Labour force participation - Female,67.3
Benin,2005,Unemployment rate - Female,0.6
Benin,2010,Labour force participation - Total,71.1
Benin,2010,Unemployment rate - Total,1
Benin,2010,Labour force participation - Male,73
Benin,2010,Unemployment rate - Male,0.9
Benin,2010,Labour force participation - Female,69.2
Benin,2010,Unemployment rate - Female,1.2
Benin,2015,Labour force participation - Total,70.8
Benin,2015,Unemployment rate - Total,2.6
Benin,2015,Labour force participation - Male,73.3
Benin,2015,Unemployment rate - Male,2.4
Benin,2015,Labour force participation - Female,68.4
Benin,2015,Unemployment rate - Female,2.8
Benin,2020,Labour force participation - Total,71
Benin,2020,Unemployment rate - Total,2
Benin,2020,Labour force participation - Male,73
Benin,2020,Unemployment rate - Male,2
Benin,2020,Labour force participation - Female,69
Benin,2020,Unemployment rate - Female,2.1
Bermuda,2000,Unemployment rate - Total,2.7
Bermuda,2000,Unemployment rate - Male,3.1
Bermuda,2000,Unemployment rate - Female,2.3
Bermuda,2009,Labour force participation - Total,82
Bermuda,2009,Unemployment rate - Total,4.5
Bermuda,2009,Labour force participation - Male,86
Bermuda,2009,Unemployment rate - Male,6
Bermuda,2009,Labour force participation - Female,79
Bermuda,2009,Unemployment rate - Female,3
Bermuda,2010,Labour force participation - Total,84
Bermuda,2010,Labour force participation - Male,87
Bermuda,2010,Labour force participation - Female,81
Bermuda,2012,Labour force participation - Total,76.1
Bermuda,2012,Unemployment rate - Total,8.4
Bermuda,2012,Labour force participation - Male,80
Bermuda,2012,Unemployment rate - Male,8.7
Bermuda,2012,Labour force participation - Female,72.6
Bermuda,2012,Unemployment rate - Female,8.2
Bermuda,2013,Unemployment rate - Total,6.7
Bhutan,2005,Labour force participation - Total,70.6
Bhutan,2005,Unemployment rate - Total,3.1
Bhutan,2005,Labour force participation - Male,75.3
Bhutan,2005,Unemployment rate - Male,2.9
Bhutan,2005,Labour force participation - Female,65.2
Bhutan,2005,Unemployment rate - Female,3.3
Bhutan,2010,Labour force participation - Total,68.3
Bhutan,2010,Unemployment rate - Total,3.3
Bhutan,2010,Labour force participation - Male,72.5
Bhutan,2010,Unemployment rate - Male,2.8
Bhutan,2010,Labour force participation - Female,63.5
Bhutan,2010,Unemployment rate - Female,4.1
Bhutan,2015,Labour force participation - Total,65.9
Bhutan,2015,Unemployment rate - Total,2.5
Bhutan,2015,Labour force participation - Male,72.6
Bhutan,2015,Unemployment rate - Male,1.9
Bhutan,2015,Labour force participation - Female,58.2
Bhutan,2015,Unemployment rate - Female,3.3
Bhutan,2020,Labour force participation - Total,67
Bhutan,2020,Unemployment rate - Total,2.4
Bhutan,2020,Labour force participation - Male,73.8
Bhutan,2020,Unemployment rate - Male,1.8
Bhutan,2020,Labour force participation - Female,59
Bhutan,2020,Unemployment rate - Female,3.3
Bolivia (Plurin. State of),2005,Labour force participation - Total,72.7
Bolivia (Plurin. State of),2005,Unemployment rate - Total,2.8
Bolivia (Plurin. State of),2005,Labour force participation - Male,82.8
Bolivia (Plurin. State of),2005,Unemployment rate - Male,2.3
Bolivia (Plurin. State of),2005,Labour force participation - Female,62.6
Bolivia (Plurin. State of),2005,Unemployment rate - Female,3.6
Bolivia (Plurin. State of),2010,Labour force participation - Total,72
Bolivia (Plurin. State of),2010,Unemployment rate - Total,2.6
Bolivia (Plurin. State of),2010,Labour force participation - Male,82.1
Bolivia (Plurin. State of),2010,Unemployment rate - Male,2.2
Bolivia (Plurin. State of),2010,Labour force participation - Female,62
Bolivia (Plurin. State of),2010,Unemployment rate - Female,3.1
Bolivia (Plurin. State of),2015,Labour force participation - Total,67
Bolivia (Plurin. State of),2015,Unemployment rate - Total,3.1
Bolivia (Plurin. State of),2015,Labour force participation - Male,79.7
Bolivia (Plurin. State of),2015,Unemployment rate - Male,2.6
Bolivia (Plurin. State of),2015,Labour force participation - Female,54.4
Bolivia (Plurin. State of),2015,Unemployment rate - Female,3.8
Bolivia (Plurin. State of),2020,Labour force participation - Total,71.7
Bolivia (Plurin. State of),2020,Unemployment rate - Total,3.5
Bolivia (Plurin. State of),2020,Labour force participation - Male,80.4
Bolivia (Plurin. State of),2020,Unemployment rate - Male,3.1
Bolivia (Plurin. State of),2020,Labour force participation - Female,63
Bolivia (Plurin. State of),2020,Unemployment rate - Female,3.8
Bosnia and Herzegovina,2005,Labour force participation - Total,44
Bosnia and Herzegovina,2005,Unemployment rate - Total,30.5
Bosnia and Herzegovina,2005,Labour force participation - Male,57.2
Bosnia and Herzegovina,2005,Unemployment rate - Male,28.2
Bosnia and Herzegovina,2005,Labour force participation - Female,31.6
Bosnia and Herzegovina,2005,Unemployment rate - Female,34.3
Bosnia and Herzegovina,2010,Labour force participation - Total,45.9
Bosnia and Herzegovina,2010,Unemployment rate - Total,27.3
Bosnia and Herzegovina,2010,Labour force participation - Male,58.2
Bosnia and Herzegovina,2010,Unemployment rate - Male,25.7
Bosnia and Herzegovina,2010,Labour force participation - Female,34.3
Bosnia and Herzegovina,2010,Unemployment rate - Female,29.9
Bosnia and Herzegovina,2015,Labour force participation - Total,46.9
Bosnia and Herzegovina,2015,Unemployment rate - Total,27.7
Bosnia and Herzegovina,2015,Labour force participation - Male,58.2
Bosnia and Herzegovina,2015,Unemployment rate - Male,25.8
Bosnia and Herzegovina,2015,Labour force participation - Female,36.3
Bosnia and Herzegovina,2015,Unemployment rate - Female,30.7
Bosnia and Herzegovina,2020,Labour force participation - Total,46.1
Bosnia and Herzegovina,2020,Unemployment rate - Total,18.4
Bosnia and Herzegovina,2020,Labour force participation - Male,57.7
Bosnia and Herzegovina,2020,Unemployment rate - Male,16.6
Bosnia and Herzegovina,2020,Labour force participation - Female,35.2
Bosnia and Herzegovina,2020,Unemployment rate - Female,21.3
Botswana,2005,Labour force participation - Total,62.5
Botswana,2005,Unemployment rate - Total,19.8
Botswana,2005,Labour force participation - Male,71
Botswana,2005,Unemployment rate - Male,17.7
Botswana,2005,Labour force participation - Female,54.7
Botswana,2005,Unemployment rate - Female,22.2
Botswana,2010,Labour force participation - Total,60.1
Botswana,2010,Unemployment rate - Total,17.9
Botswana,2010,Labour force participation - Male,66.9
Botswana,2010,Unemployment rate - Male,14.7
Botswana,2010,Labour force participation - Female,53.8
Botswana,2010,Unemployment rate - Female,21.5
Botswana,2015,Labour force participation - Total,70.9
Botswana,2015,Unemployment rate - Total,17.8
Botswana,2015,Labour force participation - Male,77.7
Botswana,2015,Unemployment rate - Male,14.8
Botswana,2015,Labour force participation - Female,64.9
Botswana,2015,Unemployment rate - Female,20.8
Botswana,2020,Labour force participation - Total,71
Botswana,2020,Unemployment rate - Total,18.7
Botswana,2020,Labour force participation - Male,77
Botswana,2020,Unemployment rate - Male,15.9
Botswana,2020,Labour force participation - Female,65.5
Botswana,2020,Unemployment rate - Female,21.8
Brazil,2005,Labour force participation - Total,66.4
Brazil,2005,Unemployment rate - Total,9.6
Brazil,2005,Labour force participation - Male,78.2
Brazil,2005,Unemployment rate - Male,7.4
Brazil,2005,Labour force participation - Female,55.1
Brazil,2005,Unemployment rate - Female,12.5
Brazil,2010,Labour force participation - Total,64.7
Brazil,2010,Unemployment rate - Total,7.7
Brazil,2010,Labour force participation - Male,76.5
Brazil,2010,Unemployment rate - Male,5.6
Brazil,2010,Labour force participation - Female,53.5
Brazil,2010,Unemployment rate - Female,10.6
Brazil,2015,Labour force participation - Total,64.1
Brazil,2015,Unemployment rate - Total,8.4
Brazil,2015,Labour force participation - Male,75.3
Brazil,2015,Unemployment rate - Male,7.2
Brazil,2015,Labour force participation - Female,53.3
Brazil,2015,Unemployment rate - Female,10.1
Brazil,2020,Labour force participation - Total,63.7
Brazil,2020,Unemployment rate - Total,12
Brazil,2020,Labour force participation - Male,73.9
Brazil,2020,Unemployment rate - Male,10.2
Brazil,2020,Labour force participation - Female,54.1
Brazil,2020,Unemployment rate - Female,14.3
Brunei Darussalam,2005,Labour force participation - Total,67.1
Brunei Darussalam,2005,Unemployment rate - Total,5.7
Brunei Darussalam,2005,Labour force participation - Male,77.6
Brunei Darussalam,2005,Unemployment rate - Male,4.7
Brunei Darussalam,2005,Labour force participation - Female,56.2
Brunei Darussalam,2005,Unemployment rate - Female,7
Brunei Darussalam,2010,Labour force participation - Total,66.4
Brunei Darussalam,2010,Unemployment rate - Total,6.7
Brunei Darussalam,2010,Labour force participation - Male,75.3
Brunei Darussalam,2010,Unemployment rate - Male,5.9
Brunei Darussalam,2010,Labour force participation - Female,57
Brunei Darussalam,2010,Unemployment rate - Female,8
Brunei Darussalam,2015,Labour force participation - Total,65.9
Brunei Darussalam,2015,Unemployment rate - Total,7.9
Brunei Darussalam,2015,Labour force participation - Male,73.1
Brunei Darussalam,2015,Unemployment rate - Male,7.3
Brunei Darussalam,2015,Labour force participation - Female,58
Brunei Darussalam,2015,Unemployment rate - Female,8.8
Brunei Darussalam,2020,Labour force participation - Total,64.4
Brunei Darussalam,2020,Unemployment rate - Total,9
Brunei Darussalam,2020,Labour force participation - Male,70.7
Brunei Darussalam,2020,Unemployment rate - Male,8.3
Brunei Darussalam,2020,Labour force participation - Female,57.6
Brunei Darussalam,2020,Unemployment rate - Female,10
Bulgaria,2005,Labour force participation - Total,50.4
Bulgaria,2005,Unemployment rate - Total,10.1
Bulgaria,2005,Labour force participation - Male,56.4
Bulgaria,2005,Unemployment rate - Male,10.3
Bulgaria,2005,Labour force participation - Female,44.7
Bulgaria,2005,Unemployment rate - Female,9.8
Bulgaria,2010,Labour force participation - Total,53.4
Bulgaria,2010,Unemployment rate - Total,10.3
Bulgaria,2010,Labour force participation - Male,59.5
Bulgaria,2010,Unemployment rate - Male,10.9
Bulgaria,2010,Labour force participation - Female,47.7
Bulgaria,2010,Unemployment rate - Female,9.6
Bulgaria,2015,Labour force participation - Total,54.2
Bulgaria,2015,Unemployment rate - Total,9.1
Bulgaria,2015,Labour force participation - Male,60.1
Bulgaria,2015,Unemployment rate - Male,9.8
Bulgaria,2015,Labour force participation - Female,48.6
Bulgaria,2015,Unemployment rate - Female,8.4
Bulgaria,2020,Labour force participation - Total,55.2
Bulgaria,2020,Unemployment rate - Total,3.9
Bulgaria,2020,Labour force participation - Male,61.9
Bulgaria,2020,Unemployment rate - Male,4.2
Bulgaria,2020,Labour force participation - Female,49.1
Bulgaria,2020,Unemployment rate - Female,3.5
Burkina Faso,2005,Labour force participation - Total,74.2
Burkina Faso,2005,Unemployment rate - Total,4
Burkina Faso,2005,Labour force participation - Male,86.8
Burkina Faso,2005,Unemployment rate - Male,3.5
Burkina Faso,2005,Labour force participation - Female,62.4
Burkina Faso,2005,Unemployment rate - Female,4.6
Burkina Faso,2010,Labour force participation - Total,70.4
Burkina Faso,2010,Unemployment rate - Total,4.7
Burkina Faso,2010,Labour force participation - Male,81.7
Burkina Faso,2010,Unemployment rate - Male,3.6
Burkina Faso,2010,Labour force participation - Female,59.7
Burkina Faso,2010,Unemployment rate - Female,6.2
Burkina Faso,2015,Labour force participation - Total,66.7
Burkina Faso,2015,Unemployment rate - Total,6.4
Burkina Faso,2015,Labour force participation - Male,75.4
Burkina Faso,2015,Unemployment rate - Male,4
Burkina Faso,2015,Labour force participation - Female,58.3
Burkina Faso,2015,Unemployment rate - Female,9.4
Burkina Faso,2020,Labour force participation - Total,66.3
Burkina Faso,2020,Unemployment rate - Total,6.4
Burkina Faso,2020,Labour force participation - Male,74.7
Burkina Faso,2020,Unemployment rate - Male,4
Burkina Faso,2020,Labour force participation - Female,58.2
Burkina Faso,2020,Unemployment rate - Female,9.5
Burundi,2005,Labour force participation - Total,80.4
Burundi,2005,Unemployment rate - Total,1.8
Burundi,2005,Labour force participation - Male,79.2
Burundi,2005,Unemployment rate - Male,2.4
Burundi,2005,Labour force participation - Female,81.6
Burundi,2005,Unemployment rate - Female,1.3
Burundi,2010,Labour force participation - Total,78.8
Burundi,2010,Unemployment rate - Total,1.8
Burundi,2010,Labour force participation - Male,77.3
Burundi,2010,Unemployment rate - Male,2.3
Burundi,2010,Labour force participation - Female,80.2
Burundi,2010,Unemployment rate - Female,1.3
Burundi,2015,Labour force participation - Total,78.6
Burundi,2015,Unemployment rate - Total,1.6
Burundi,2015,Labour force participation - Male,77.1
Burundi,2015,Unemployment rate - Male,2
Burundi,2015,Labour force participation - Female,80
Burundi,2015,Unemployment rate - Female,1.1
Burundi,2020,Labour force participation - Total,79.1
Burundi,2020,Unemployment rate - Total,1.4
Burundi,2020,Labour force participation - Male,77.8
Burundi,2020,Unemployment rate - Male,1.9
Burundi,2020,Labour force participation - Female,80.4
Burundi,2020,Unemployment rate - Female,1
Cabo Verde,2005,Labour force participation - Total,57.6
Cabo Verde,2005,Unemployment rate - Total,10.6
Cabo Verde,2005,Labour force participation - Male,71.5
Cabo Verde,2005,Unemployment rate - Male,10.4
Cabo Verde,2005,Labour force participation - Female,45
Cabo Verde,2005,Unemployment rate - Female,11
Cabo Verde,2010,Labour force participation - Total,58.6
Cabo Verde,2010,Unemployment rate - Total,10.7
Cabo Verde,2010,Labour force participation - Male,70.2
Cabo Verde,2010,Unemployment rate - Male,10.4
Cabo Verde,2010,Labour force participation - Female,47.1
Cabo Verde,2010,Unemployment rate - Female,11.1
Cabo Verde,2015,Labour force participation - Total,59.9
Cabo Verde,2015,Unemployment rate - Total,11.9
Cabo Verde,2015,Labour force participation - Male,68.7
Cabo Verde,2015,Unemployment rate - Male,11.6
Cabo Verde,2015,Labour force participation - Female,51.2
Cabo Verde,2015,Unemployment rate - Female,12.4
Cabo Verde,2020,Labour force participation - Total,60.6
Cabo Verde,2020,Unemployment rate - Total,12.3
Cabo Verde,2020,Labour force participation - Male,67.6
Cabo Verde,2020,Unemployment rate - Male,13
Cabo Verde,2020,Labour force participation - Female,53.6
Cabo Verde,2020,Unemployment rate - Female,11.5
Cambodia,2005,Labour force participation - Total,81
Cambodia,2005,Unemployment rate - Total,1.4
Cambodia,2005,Labour force participation - Male,86.9
Cambodia,2005,Unemployment rate - Male,1.2
Cambodia,2005,Labour force participation - Female,75.7
Cambodia,2005,Unemployment rate - Female,1.5
Cambodia,2010,Labour force participation - Total,85.2
Cambodia,2010,Unemployment rate - Total,0.8
Cambodia,2010,Labour force participation - Male,89.1
Cambodia,2010,Unemployment rate - Male,0.8
Cambodia,2010,Labour force participation - Female,81.8
Cambodia,2010,Unemployment rate - Female,0.8
Cambodia,2015,Labour force participation - Total,80.3
Cambodia,2015,Unemployment rate - Total,0.4
Cambodia,2015,Labour force participation - Male,86.9
Cambodia,2015,Unemployment rate - Male,0.3
Cambodia,2015,Labour force participation - Female,74.3
Cambodia,2015,Unemployment rate - Female,0.5
Cambodia,2020,Labour force participation - Total,82.4
Cambodia,2020,Unemployment rate - Total,0.7
Cambodia,2020,Labour force participation - Male,89
Cambodia,2020,Unemployment rate - Male,0.6
Cambodia,2020,Labour force participation - Female,76.3
Cambodia,2020,Unemployment rate - Female,0.9
Cameroon,2005,Labour force participation - Total,81.8
Cameroon,2005,Unemployment rate - Total,4.4
Cameroon,2005,Labour force participation - Male,85.4
Cameroon,2005,Unemployment rate - Male,4.2
Cameroon,2005,Labour force participation - Female,78.2
Cameroon,2005,Unemployment rate - Female,4.6
Cameroon,2010,Labour force participation - Total,76
Cameroon,2010,Unemployment rate - Total,4.1
Cameroon,2010,Labour force participation - Male,81.4
Cameroon,2010,Unemployment rate - Male,3.4
Cameroon,2010,Labour force participation - Female,70.6
Cameroon,2010,Unemployment rate - Female,4.9
Cameroon,2015,Labour force participation - Total,76.3
Cameroon,2015,Unemployment rate - Total,3.5
Cameroon,2015,Labour force participation - Male,81.6
Cameroon,2015,Unemployment rate - Male,3.1
Cameroon,2015,Labour force participation - Female,71.1
Cameroon,2015,Unemployment rate - Female,4
Cameroon,2020,Labour force participation - Total,75.9
Cameroon,2020,Unemployment rate - Total,3.4
Cameroon,2020,Labour force participation - Male,81
Cameroon,2020,Unemployment rate - Male,3
Cameroon,2020,Labour force participation - Female,70.9
Cameroon,2020,Unemployment rate - Female,3.9
Canada,2005,Labour force participation - Total,66.7
Canada,2005,Unemployment rate - Total,6.8
Canada,2005,Labour force participation - Male,72.6
Canada,2005,Unemployment rate - Male,7
Canada,2005,Labour force participation - Female,60.9
Canada,2005,Unemployment rate - Female,6.5
Canada,2010,Labour force participation - Total,66.6
Canada,2010,Unemployment rate - Total,8.1
Canada,2010,Labour force participation - Male,71.5
Canada,2010,Unemployment rate - Male,8.8
Canada,2010,Labour force participation - Female,61.9
Canada,2010,Unemployment rate - Female,7.2
Canada,2015,Labour force participation - Total,65.6
Canada,2015,Unemployment rate - Total,6.9
Canada,2015,Labour force participation - Male,70.5
Canada,2015,Unemployment rate - Male,7.5
Canada,2015,Labour force participation - Female,60.9
Canada,2015,Unemployment rate - Female,6.3
Canada,2020,Labour force participation - Total,64.9
Canada,2020,Unemployment rate - Total,5.4
Canada,2020,Labour force participation - Male,69.2
Canada,2020,Unemployment rate - Male,5.7
Canada,2020,Labour force participation - Female,60.7
Canada,2020,Unemployment rate - Female,5.1
Cayman Islands,2005,Unemployment rate - Total,3.5
Cayman Islands,2009,Labour force participation - Total,84.2
Cayman Islands,2009,Unemployment rate - Total,6
Cayman Islands,2009,Labour force participation - Male,88
Cayman Islands,2009,Unemployment rate - Male,7
Cayman Islands,2009,Labour force participation - Female,80.6
Cayman Islands,2009,Unemployment rate - Female,5
Cayman Islands,2010,Labour force participation - Total,81.8
Cayman Islands,2010,Unemployment rate - Total,6.7
Cayman Islands,2013,Labour force participation - Total,83.1
Cayman Islands,2013,Unemployment rate - Total,6.3
Cayman Islands,2013,Labour force participation - Male,85.6
Cayman Islands,2013,Unemployment rate - Male,6.7
Cayman Islands,2013,Labour force participation - Female,80.6
Cayman Islands,2013,Unemployment rate - Female,5.8
Central African Republic,2005,Labour force participation - Total,72.4
Central African Republic,2005,Unemployment rate - Total,3.9
Central African Republic,2005,Labour force participation - Male,80
Central African Republic,2005,Unemployment rate - Male,4
Central African Republic,2005,Labour force participation - Female,65.1
Central African Republic,2005,Unemployment rate - Female,3.8
Central African Republic,2010,Labour force participation - Total,72.6
Central African Republic,2010,Unemployment rate - Total,3.9
Central African Republic,2010,Labour force participation - Male,80.4
Central African Republic,2010,Unemployment rate - Male,4
Central African Republic,2010,Labour force participation - Female,65
Central African Republic,2010,Unemployment rate - Female,3.8
Central African Republic,2015,Labour force participation - Total,72.8
Central African Republic,2015,Unemployment rate - Total,3.9
Central African Republic,2015,Labour force participation - Male,81.2
Central African Republic,2015,Unemployment rate - Male,3.9
Central African Republic,2015,Labour force participation - Female,64.7
Central African Republic,2015,Unemployment rate - Female,3.8
Central African Republic,2020,Labour force participation - Total,71.9
Central African Republic,2020,Unemployment rate - Total,3.7
Central African Republic,2020,Labour force participation - Male,79.8
Central African Republic,2020,Unemployment rate - Male,3.8
Central African Republic,2020,Labour force participation - Female,64.4
Central African Republic,2020,Unemployment rate - Female,3.6
Chad,2005,Labour force participation - Total,71.9
Chad,2005,Unemployment rate - Total,1.3
Chad,2005,Labour force participation - Male,80
Chad,2005,Unemployment rate - Male,1.6
Chad,2005,Labour force participation - Female,63.9
Chad,2005,Unemployment rate - Female,0.8
Chad,2010,Labour force participation - Total,71.5
Chad,2010,Unemployment rate - Total,1.6
Chad,2010,Labour force participation - Male,79.3
Chad,2010,Unemployment rate - Male,1.9
Chad,2010,Labour force participation - Female,63.8
Chad,2010,Unemployment rate - Female,1.2
Chad,2015,Labour force participation - Total,70.9
Chad,2015,Unemployment rate - Total,1.8
Chad,2015,Labour force participation - Male,78.2
Chad,2015,Unemployment rate - Male,2.1
Chad,2015,Labour force participation - Female,63.8
Chad,2015,Unemployment rate - Female,1.6
Chad,2020,Labour force participation - Total,70.7
Chad,2020,Unemployment rate - Total,1.9
Chad,2020,Labour force participation - Male,77.5
Chad,2020,Unemployment rate - Male,2.1
Chad,2020,Labour force participation - Female,63.9
Chad,2020,Unemployment rate - Female,1.8
Channel Islands,2005,Labour force participation - Total,59.3
Channel Islands,2005,Unemployment rate - Total,8
Channel Islands,2005,Labour force participation - Male,69
Channel Islands,2005,Unemployment rate - Male,8.1
Channel Islands,2005,Labour force participation - Female,50.1
Channel Islands,2005,Unemployment rate - Female,7.9
Channel Islands,2010,Labour force participation - Total,59.1
Channel Islands,2010,Unemployment rate - Total,8.4
Channel Islands,2010,Labour force participation - Male,67.8
Channel Islands,2010,Unemployment rate - Male,8.3
Channel Islands,2010,Labour force participation - Female,50.8
Channel Islands,2010,Unemployment rate - Female,8.6
Channel Islands,2015,Labour force participation - Total,58.9
Channel Islands,2015,Unemployment rate - Total,8.1
Channel Islands,2015,Labour force participation - Male,67.1
Channel Islands,2015,Unemployment rate - Male,7.9
Channel Islands,2015,Labour force participation - Female,51
Channel Islands,2015,Unemployment rate - Female,8.3
Channel Islands,2020,Labour force participation - Total,58
Channel Islands,2020,Unemployment rate - Total,7.5
Channel Islands,2020,Labour force participation - Male,65.6
Channel Islands,2020,Unemployment rate - Male,7.4
Channel Islands,2020,Labour force participation - Female,50.6
Channel Islands,2020,Unemployment rate - Female,7.7
Chile,2005,Labour force participation - Total,57.3
Chile,2005,Unemployment rate - Total,9.3
Chile,2005,Labour force participation - Male,74
Chile,2005,Unemployment rate - Male,7.6
Chile,2005,Labour force participation - Female,41.4
Chile,2005,Unemployment rate - Female,12.3
Chile,2010,Labour force participation - Total,60.4
Chile,2010,Unemployment rate - Total,8.4
Chile,2010,Labour force participation - Male,74.6
Chile,2010,Unemployment rate - Male,7.4
Chile,2010,Labour force participation - Female,46.9
Chile,2010,Unemployment rate - Female,9.9
Chile,2015,Labour force participation - Total,62.1
Chile,2015,Unemployment rate - Total,6.5
Chile,2015,Labour force participation - Male,74.7
Chile,2015,Unemployment rate - Male,6.1
Chile,2015,Labour force participation - Female,50.1
Chile,2015,Unemployment rate - Female,7.1
Chile,2020,Labour force participation - Total,62.8
Chile,2020,Unemployment rate - Total,7.1
Chile,2020,Labour force participation - Male,74.1
Chile,2020,Unemployment rate - Male,6.6
Chile,2020,Labour force participation - Female,52
Chile,2020,Unemployment rate - Female,7.8
China,2005,Labour force participation - Total,73.6
China,2005,Unemployment rate - Total,4.5
China,2005,Labour force participation - Male,80
China,2005,Unemployment rate - Male,5
China,2005,Labour force participation - Female,66.9
China,2005,Unemployment rate - Female,3.9
China,2010,Labour force participation - Total,71.3
China,2010,Unemployment rate - Total,4.5
China,2010,Labour force participation - Male,78.3
China,2010,Unemployment rate - Male,5
China,2010,Labour force participation - Female,64
China,2010,Unemployment rate - Female,3.9
China,2015,Labour force participation - Total,69.8
China,2015,Unemployment rate - Total,4.6
China,2015,Labour force participation - Male,76.9
China,2015,Unemployment rate - Male,5.1
China,2015,Labour force participation - Female,62.5
China,2015,Unemployment rate - Female,4
China,2020,Labour force participation - Total,67.5
China,2020,Unemployment rate - Total,4.4
China,2020,Labour force participation - Male,74.8
China,2020,Unemployment rate - Male,4.8
China,2020,Labour force participation - Female,59.8
China,2020,Unemployment rate - Female,3.8
China- Hong Kong SAR,2005,Labour force participation - Total,60.9
China- Hong Kong SAR,2005,Unemployment rate - Total,5.6
China- Hong Kong SAR,2005,Labour force participation - Male,71.1
China- Hong Kong SAR,2005,Unemployment rate - Male,6.5
China- Hong Kong SAR,2005,Labour force participation - Female,51.7
China- Hong Kong SAR,2005,Unemployment rate - Female,4.4
China- Hong Kong SAR,2010,Labour force participation - Total,59.2
China- Hong Kong SAR,2010,Unemployment rate - Total,4.3
China- Hong Kong SAR,2010,Labour force participation - Male,68.1
China- Hong Kong SAR,2010,Unemployment rate - Male,5
China- Hong Kong SAR,2010,Labour force participation - Female,51.4
China- Hong Kong SAR,2010,Unemployment rate - Female,3.5
China- Hong Kong SAR,2015,Labour force participation - Total,60.8
China- Hong Kong SAR,2015,Unemployment rate - Total,3.3
China- Hong Kong SAR,2015,Labour force participation - Male,68.5
China- Hong Kong SAR,2015,Unemployment rate - Male,3.4
China- Hong Kong SAR,2015,Labour force participation - Female,54.3
China- Hong Kong SAR,2015,Unemployment rate - Female,3.2
China- Hong Kong SAR,2020,Labour force participation - Total,59.7
China- Hong Kong SAR,2020,Unemployment rate - Total,4.3
China- Hong Kong SAR,2020,Labour force participation - Male,67
China- Hong Kong SAR,2020,Unemployment rate - Male,4.9
China- Hong Kong SAR,2020,Labour force participation - Female,53.7
China- Hong Kong SAR,2020,Unemployment rate - Female,3.6
China- Macao SAR,2005,Labour force participation - Total,64.4
China- Macao SAR,2005,Unemployment rate - Total,4.1
China- Macao SAR,2005,Labour force participation - Male,72.5
China- Macao SAR,2005,Unemployment rate - Male,4.4
China- Macao SAR,2005,Labour force participation - Female,57.3
China- Macao SAR,2005,Unemployment rate - Female,3.8
China- Macao SAR,2010,Labour force participation - Total,70.8
China- Macao SAR,2010,Unemployment rate - Total,2.8
China- Macao SAR,2010,Labour force participation - Male,76.9
China- Macao SAR,2010,Unemployment rate - Male,3.6
China- Macao SAR,2010,Labour force participation - Female,65.3
China- Macao SAR,2010,Unemployment rate - Female,2.1
China- Macao SAR,2015,Labour force participation - Total,71.6
China- Macao SAR,2015,Unemployment rate - Total,1.8
China- Macao SAR,2015,Labour force participation - Male,77.2
China- Macao SAR,2015,Unemployment rate - Male,2
China- Macao SAR,2015,Labour force participation - Female,66.6
China- Macao SAR,2015,Unemployment rate - Female,1.6
China- Macao SAR,2020,Labour force participation - Total,70.2
China- Macao SAR,2020,Unemployment rate - Total,2.5
China- Macao SAR,2020,Labour force participation - Male,76.3
China- Macao SAR,2020,Unemployment rate - Male,3
China- Macao SAR,2020,Labour force participation - Female,64.6
China- Macao SAR,2020,Unemployment rate - Female,2
Colombia,2005,Labour force participation - Total,66.3
Colombia,2005,Unemployment rate - Total,11.9
Colombia,2005,Labour force participation - Male,81.2
Colombia,2005,Unemployment rate - Male,9.1
Colombia,2005,Labour force participation - Female,52.5
Colombia,2005,Unemployment rate - Female,15.9
Colombia,2010,Labour force participation - Total,68.2
Colombia,2010,Unemployment rate - Total,11
Colombia,2010,Labour force participation - Male,81.6
Colombia,2010,Unemployment rate - Male,8.6
Colombia,2010,Labour force participation - Female,55.7
Colombia,2010,Unemployment rate - Female,14.2
Colombia,2015,Labour force participation - Total,69.9
Colombia,2015,Unemployment rate - Total,8.3
Colombia,2015,Labour force participation - Male,82
Colombia,2015,Unemployment rate - Male,6.4
Colombia,2015,Labour force participation - Female,58.5
Colombia,2015,Unemployment rate - Female,10.8
Colombia,2020,Labour force participation - Total,68.9
Colombia,2020,Unemployment rate - Total,9.7
Colombia,2020,Labour force participation - Male,81
Colombia,2020,Unemployment rate - Male,7.5
Colombia,2020,Labour force participation - Female,57.5
Colombia,2020,Unemployment rate - Female,12.7
Comoros,2005,Labour force participation - Total,41.8
Comoros,2005,Unemployment rate - Total,4.5
Comoros,2005,Labour force participation - Male,50.2
Comoros,2005,Unemployment rate - Male,4.3
Comoros,2005,Labour force participation - Female,33.3
Comoros,2005,Unemployment rate - Female,4.9
Comoros,2010,Labour force participation - Total,42.1
Comoros,2010,Unemployment rate - Total,4.6
